sentiment,tweet,unit_id,golden,unit_state,trusted_judgments,last_judgment_at,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,tweet_coord,tweet_created,tweet_id,tweet_location,user_timezone
neutral,@VirginAmerica What @dhepburn said.,681448150,FALSE,finalized,3,2/25/15 5:24,1,NA,NA,Virgin America,NA,cairdin,NA,0,NA,2/24/15 11:35,570306e12,NA,Eastern Time (US & Canada)
positive,@VirginAmerica plus you've added commercials to the experience... tacky.,681448153,FALSE,finalized,3,2/25/15 1:53,0.3486,NA,0,Virgin America,NA,jnardino,NA,0,NA,2/24/15 11:15,570301e12,NA,Pacific Time (US & Canada)
neutral,@VirginAmerica I didn't today... Must mean I need to take another trip!,681448156,FALSE,finalized,3,2/25/15 10:01,0.6837,NA,NA,Virgin America,NA,yvonnalynn,NA,0,NA,2/24/15 11:15,570301e12,Lets Play,Central Time (US & Canada)
negative,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse",681448158,FALSE,finalized,3,2/25/15 3:05,1,Bad Flight,0.7033,Virgin America,NA,jnardino,NA,0,NA,2/24/15 11:15,570301e12,NA,Pacific Time (US & Canada)
negative,@VirginAmerica and it's a really big bad thing about it,681448159,FALSE,finalized,3,2/25/15 5:50,1,Can't Tell,1,Virgin America,NA,jnardino,NA,0,NA,2/24/15 11:14,570301e12,NA,Pacific Time (US & Canada)
negative,"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA",681448162,FALSE,finalized,3,2/25/15 9:10,1,Can't Tell,0.6842,Virgin America,NA,jnardino,NA,0,NA,2/24/15 11:14,570301e12,NA,Pacific Time (US & Canada)
positive,"@VirginAmerica yes, nearly every time I fly VX this ���ear worm�۝ won�۪t go away :)",681448165,FALSE,finalized,3,2/25/15 8:11,0.6745,NA,0,Virgin America,NA,cjmcginnis,NA,0,NA,2/24/15 11:13,570301e12,San Francisco CA,Pacific Time (US & Canada)
neutral,"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP",681448167,FALSE,finalized,3,2/25/15 2:11,0.634,NA,NA,Virgin America,NA,pilot,NA,0,NA,2/24/15 11:12,5703e14,Los Angeles,Pacific Time (US & Canada)
positive,"@virginamerica Well, I didn't��_but NOW I DO! :-D",681448169,FALSE,finalized,3,2/25/15 9:01,0.6559,NA,NA,Virgin America,NA,dhepburn,NA,0,NA,2/24/15 11:11,5703e14,San Diego,Pacific Time (US & Canada)
positive,"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me.",681448171,FALSE,finalized,3,2/25/15 4:15,1,NA,NA,Virgin America,NA,YupitsTate,NA,0,NA,2/24/15 10:53,570295e12,Los Angeles,Eastern Time (US & Canada)
